"ID","X (km)","Y (km)","ServiceTime (min)"
1,2.36,1.031,20
2,0.665,4.015,30
3,7.651,2.219,25
4,1.726,1.061,35
5,8.289,8.066,30
6,3.098,6.269,25
7,8.8,0.867,25
8,5.059,1.777,20
9,9.345,8.654,25
10,9.088,5.723,30
11,5.083,4.139,25
12,1.613,3.051,30
13,0.463,6.263,20
14,4.712,3.428,30
15,4.127,2.026,25
16,3.558,7.469,20
17,9.043,1.009,35
18,7.651,6.154,35
19,1.775,4.59,35
20,8.959,9.547,25
21,0.181,2.889,30
22,4.104,9.433,25
23,2.934,1.914,20
24,3.816,9.618,20
25,0.447,1.695,30
26,2.903,0.971,30
27,2.079,0.593,35
28,6.768,1.496,35
29,2.49,9.976,35
30,7.737,4.093,30
31,2.418,4.106,35
32,2.485,8.893,30
33,0.316,2.543,35
34,2.314,8.697,35
35,9.28,5.653,30
36,9.009,6.539,30
37,4.942,0.929,35
38,8.997,9.245,20
39,7.995,6.424,30
40,6.547,6.859,20
41,9.562,0.743,30
42,6.683,0.445,30
43,9.685,6.671,35
44,6.351,5.692,25
45,2.185,0.032,30
46,8.764,1.158,30
47,8.778,5.506,30
48,6.714,3.306,30
49,4.715,5.264,35
50,5.944,4.888,30
51,5,5,0
