"ID","X (km)","Y (km)","ServiceTime (min)"
1,9.56,9.478,35
2,8.354,7.359,25
3,6.059,6.068,25
4,4.306,3.935,25
5,9.493,5.441,20
6,0.359,0.274,20
7,3.8,8.917,25
8,2.361,0.238,20
9,5.102,9.986,25
10,8.935,7.967,25
11,7.628,7.897,20
12,9.619,1.611,30
13,4.614,5.303,20
14,5.008,8.315,20
15,8.997,4.61,25
16,7.237,4.866,35
17,6.995,1.66,30
18,9.113,3.095,30
19,5.042,5.177,25
20,3.118,2.078,25
21,6.232,0.753,30
22,9.076,1.914,25
23,6.529,2.73,35
24,1.062,5.223,30
25,2.104,8.805,20
26,0.318,3.623,35
27,0.829,9.545,35
28,0.211,2.556,30
29,1.837,6.914,20
30,9.9,1.514,35
31,5,5,0
