"ID","X (km)","Y (km)","ServiceTime (min)"
1,6.229,7.417,30
2,7.398,9.223,35
3,9.433,6.489,30
4,4.69,2.465,25
5,0.131,2.167,20
6,7.657,1.596,30
7,6.174,1.266,35
8,2.094,2.154,30
9,2.893,9.614,25
10,2.047,9.409,25
11,8.937,2.987,20
12,1.457,0.651,20
13,0.033,6.779,20
14,8.185,4.807,20
15,7.046,0.57,30
16,7.497,8.448,35
17,3.661,5.785,35
18,1.809,9.551,35
19,9.296,9.42,20
20,5.247,7.756,35
21,7.972,8.596,35
22,0.911,3.407,25
23,3.399,9.241,25
24,3.167,1.774,35
25,6.891,9.967,35
26,9.866,5.335,20
27,5.939,8.262,20
28,0.557,9.16,35
29,8.384,1.305,25
30,6.303,7.88,35
31,5,5,0
