"ID","X (km)","Y (km)","ServiceTime (min)"
1,2.267,9.622,35
2,0.851,2.474,30
3,6.418,4.591,20
4,1.922,8.305,35
5,0.199,2.667,20
6,3.79,1.137,20
7,0.63,6.201,20
8,3.384,6.913,20
9,9.013,5.815,35
10,9.46,4.886,35
11,5.789,7.289,30
12,3.566,8.78,35
13,0.976,6.901,25
14,8.434,5.036,35
15,5.287,5.097,35
16,5.074,7.012,35
17,0.119,3.432,20
18,3.769,8.343,30
19,3.962,1.661,25
20,2.018,7.664,20
21,7.642,3.418,35
22,2.317,4.101,20
23,5.885,2.887,35
24,1.065,5.209,20
25,5.049,7.081,30
26,0.169,1.403,20
27,7.437,3.514,30
28,8.356,2.1,30
29,9.651,7.593,30
30,1.777,9.698,20
31,6.054,4.972,20
32,1.22,5.807,20
33,4.394,7.255,25
34,3.937,3.608,35
35,4.462,1.081,25
36,6.115,0.226,20
37,0.933,9.677,30
38,7.051,2.006,35
39,7.439,6.472,35
40,9.088,7.432,30
41,2.236,2.964,25
42,3.692,9.414,30
43,6.251,9.57,30
44,8.457,1.957,20
45,8.47,3.119,20
46,8.426,6.843,30
47,8.209,6.049,20
48,4.899,5.289,30
49,0.686,7.331,20
50,1.17,8.293,20
51,5,5,0
