"ID","X (km)","Y (km)","ServiceTime (min)"
1,8.444,7.579,20
2,5.112,4.049,30
3,4.765,5.833,30
4,2.818,7.558,25
5,9.097,9.827,30
6,3.101,7.298,30
7,4.721,1.007,20
8,9.13,9.666,20
9,2.604,8.05,25
10,7.197,3.988,30
11,0.011,4.935,30
12,3.252,8.704,35
13,2.386,9.675,30
14,0.804,3.2,25
15,1.09,5.512,25
16,8.144,5.402,30
17,5.876,4.449,25
18,5.756,2.903,35
19,6.127,6.566,20
20,7.576,8.767,30
21,8.981,9.23,25
22,7.052,2.756,30
23,8.95,5.898,30
24,4.505,6.602,30
25,7.933,0.823,25
26,6.301,8.45,35
27,1.171,2.204,30
28,8.159,1.006,35
29,0.452,5.738,30
30,6.805,0.266,25
31,5.759,3.912,20
32,0.363,0.216,30
33,1.238,2.105,30
34,0.227,4.256,35
35,2.208,6.469,20
36,5.036,0.393,35
37,1.993,3.585,25
38,9.184,1.694,25
39,0.58,6.762,30
40,2.506,5.967,20
41,4.716,4.099,25
42,3.114,3.571,30
43,5.606,0.124,25
44,0.456,2.808,35
45,3.522,2.878,20
46,6.337,6.21,25
47,4.144,6.508,35
48,3.344,2.394,25
49,8.754,5.681,20
50,7.018,4.182,25
51,5,5,0
