"ID","X (km)","Y (km)","ServiceTime (min)"
1,4.63,3.733,35
2,0.064,5.027,30
3,5.542,6.166,35
4,7.034,4.52,25
5,2.38,1.109,25
6,5.904,7.742,20
7,1.016,2.911,25
8,4.217,0.877,20
9,2.811,8.095,35
10,8.793,0.547,20
11,0.234,4.247,30
12,5.968,1.212,25
13,2.03,0.082,35
14,0.174,0.848,20
15,4.201,3.981,25
16,5.798,1.725,25
17,0.541,5.55,25
18,2.683,9.948,30
19,7.054,9.509,35
20,0.43,3.659,25
21,7.746,0.867,20
22,5.841,4.513,20
23,5.744,0.183,30
24,4.335,2.134,20
25,0.888,6.295,35
26,0.253,7.807,30
27,7.094,2.482,25
28,2.309,9.64,20
29,8.599,3.693,25
30,8.432,2.589,35
31,1.727,9.465,30
32,0.118,0.609,35
33,6.115,9.664,20
34,5.619,1.372,35
35,6.959,0.655,20
36,7.641,3.83,30
37,7.154,7.717,30
38,0.992,0.484,25
39,6.296,0.842,30
40,0.13,1.758,20
41,3.882,1.73,20
42,5.354,9.412,35
43,8.889,5.443,25
44,9.095,0.655,25
45,3.003,7.249,25
46,6.995,4.535,20
47,0.529,6.029,20
48,2.311,8.231,25
49,8.758,0.359,25
50,6.78,4.066,35
51,5,5,0
