"ID","X (km)","Y (km)","ServiceTime (min)"
1,2.36,1.031,20
2,0.665,4.015,30
3,7.651,2.219,25
4,1.726,1.061,35
5,8.289,8.066,30
6,3.098,6.269,25
7,8.8,0.867,25
8,5.059,1.777,20
9,9.345,8.654,25
10,9.088,5.723,30
11,5.083,4.139,25
12,1.613,3.051,30
13,0.463,6.263,20
14,4.712,3.428,30
15,4.127,2.026,25
16,3.558,7.469,20
17,9.043,1.009,35
18,7.651,6.154,35
19,1.775,4.59,35
20,8.959,9.547,25
21,0.181,2.889,30
22,4.104,9.433,25
23,2.934,1.914,20
24,3.816,9.618,20
25,0.447,1.695,30
26,2.903,0.971,30
27,2.079,0.593,35
28,6.768,1.496,35
29,2.49,9.976,35
30,7.737,4.093,30
31,5,5,0
