"ID","X (km)","Y (km)","ServiceTime (min)"
1,6.229,7.417,30
2,7.398,9.223,35
3,9.433,6.489,30
4,4.69,2.465,25
5,0.131,2.167,20
6,7.657,1.596,30
7,6.174,1.266,35
8,2.094,2.154,30
9,2.893,9.614,25
10,2.047,9.409,25
11,8.937,2.987,20
12,1.457,0.651,20
13,0.033,6.779,20
14,8.185,4.807,20
15,7.046,0.57,30
16,7.497,8.448,35
17,3.661,5.785,35
18,1.809,9.551,35
19,9.296,9.42,20
20,5.247,7.756,35
21,7.972,8.596,35
22,0.911,3.407,25
23,3.399,9.241,25
24,3.167,1.774,35
25,6.891,9.967,35
26,9.866,5.335,20
27,5.939,8.262,20
28,0.557,9.16,35
29,8.384,1.305,25
30,6.303,7.88,35
31,1.492,8.447,20
32,9.992,8.522,30
33,4.881,7.295,20
34,4.037,1.465,20
35,9.598,6.269,20
36,0.891,2.723,30
37,3.613,7.86,30
38,6.64,7.596,20
39,2.808,4.856,30
40,2.938,9.455,25
41,0.115,5.469,20
42,4.629,8.166,25
43,3.478,6.44,25
44,3.5,8.428,30
45,9.761,9.565,25
46,1.661,8.366,30
47,6.914,7.196,25
48,7.803,5.808,25
49,6.237,7.747,25
50,0.276,1.6,20
51,5,5,0
