"ID","X (km)","Y (km)","ServiceTime (min)"
1,7.933,8.219,20
2,0.004,6.628,20
3,3.731,7.701,20
4,7.298,4.14,25
5,1.929,5.536,30
6,8.033,6.856,30
7,0.931,8.002,30
8,0.937,1.971,25
9,9.513,5.885,35
10,3.603,9.327,30
11,6.445,6.979,30
12,0.284,3.613,25
13,5.891,0.896,30
14,1.168,6.627,20
15,4.837,1.381,35
16,6.982,0.125,30
17,3.329,9.044,25
18,3.774,3.891,35
19,0.538,4.228,25
20,9.809,2.453,30
21,6.702,8.895,20
22,7.96,5.166,20
23,4.09,0.859,25
24,4.876,7.84,35
25,1.234,5.894,20
26,4.515,9.275,20
27,8.792,6.121,20
28,4.785,1.421,20
29,8.047,3.233,25
30,9.23,3.76,25
31,3.982,4.879,30
32,2.907,0.061,20
33,0.301,7.735,35
34,3.62,9.384,30
35,1.926,9.473,25
36,7.822,8.135,20
37,1.001,3.619,35
38,6.065,1.442,25
39,1.054,6.455,20
40,6.291,7.013,35
41,5,5,0
