"ID","X (km)","Y (km)","ServiceTime (min)"
1,2.379,5.442,20
2,6.257,0.655,35
3,2.593,2.343,30
4,8.364,4.763,25
5,6.348,8.68,25
6,6.714,0.64,30
7,3.012,0.31,30
8,7.188,8.788,25
9,3.949,8.009,20
10,8.788,0.974,35
11,9.654,4.361,25
12,5.072,3.858,20
13,5.842,9.042,25
14,8.564,9.909,25
15,8.606,9.646,30
16,7.138,2.111,30
17,2.849,0.634,30
18,0.885,8.005,20
19,2.938,7.687,30
20,6.145,0.449,25
21,8.809,9.806,25
22,3.096,0.769,25
23,1.973,4.079,25
24,0.424,8.677,20
25,8.966,3.777,20
26,6.438,5.956,25
27,9.406,5.07,20
28,2.376,3.01,30
29,5.484,0.114,20
30,0.2,6.157,25
31,5,5,0
