"ID","X (km)","Y (km)","ServiceTime (min)"
1,2.267,9.622,35
2,0.851,2.474,30
3,6.418,4.591,20
4,1.922,8.305,35
5,0.199,2.667,20
6,3.79,1.137,20
7,0.63,6.201,20
8,3.384,6.913,20
9,9.013,5.815,35
10,9.46,4.886,35
11,5.789,7.289,30
12,3.566,8.78,35
13,0.976,6.901,25
14,8.434,5.036,35
15,5.287,5.097,35
16,5.074,7.012,35
17,0.119,3.432,20
18,3.769,8.343,30
19,3.962,1.661,25
20,2.018,7.664,20
21,7.642,3.418,35
22,2.317,4.101,20
23,5.885,2.887,35
24,1.065,5.209,20
25,5.049,7.081,30
26,0.169,1.403,20
27,7.437,3.514,30
28,8.356,2.1,30
29,9.651,7.593,30
30,1.777,9.698,20
31,5,5,0
