"ID","X (km)","Y (km)","ServiceTime (min)"
1,1.343,8.474,30
2,4.954,4.494,25
3,0.938,0.283,30
4,7.622,0.021,20
5,2.287,9.452,30
6,0.254,5.414,30
7,2.165,4.221,35
8,4.378,4.958,35
9,2.187,4.596,20
10,8.375,5.564,25
11,9.925,8.599,35
12,7.214,7.111,30
13,8.3,6.703,20
14,8.824,8.461,25
15,0.345,2.427,30
16,1.73,5.487,25
17,3.747,4.389,25
18,5.209,3.932,20
19,0.434,7.033,30
20,3.935,1.703,25
21,7.705,5.396,30
22,5.137,9.524,25
23,2.692,5.479,30
24,7.836,8.204,30
25,8.091,5.186,25
26,0.561,8.7,25
27,5.047,4.849,20
28,5.384,6.234,25
29,0.279,2.296,35
30,8.61,7.984,30
31,2.552,8.417,25
32,0.166,0.145,30
33,1.094,6.248,20
34,1.596,5.273,35
35,7.115,4.547,20
36,0.236,3.865,20
37,1.087,8.998,25
38,6.056,8.17,35
39,1.464,7.188,35
40,6.781,5.447,35
41,7.978,5.165,35
42,3.948,5.758,20
43,0.587,2.986,30
44,3.063,8.585,20
45,7.438,4.161,20
46,8.787,0.379,30
47,5.702,1.715,30
48,7.04,5.088,20
49,2.057,6.741,20
50,1.044,6.659,20
51,5,5,0
