DataFile;4-2-90-6-14-16-2.txt
Class;4
DataSet;2
n;90
r;6
N_l;14
N_u;16
Rep;2
1;32.92;39.88
2;16.94;20.9
3;82.76;34.71
4;59.92;45.24
5;9.32;89.61
6;26.29;71.12
7;24.95;89.66
8;17.44;46.81
9;79.55;34.15
10;47.85;26.08
11;98.58;43.84
12;73.07;68.09
13;90.76;76.09
14;85.37;25.47
15;45.38;78.49
16;59.17;98.8
17;92.76;88.56
18;56.93;91.99
19;29.02;25.62
20;72.1;16.28
21;48.21;98.03
22;71.48;60.32
23;75.66;4.26
24;89.26;76.67
25;47.23;89.76
26;40.71;76.72
27;94.16;76.52
28;65.07;92.33
29;27;96.01
30;44.13;26.24
31;36.26;90.26
32;29.48;21.43
33;5.22;93.61
34;84.05;61.29
35;4.85;26.97
36;76.06;91.75
37;4.26;62.31
38;2.58;99.69
39;17.77;65.49
40;66.12;82.05
41;87.67;8.24
42;83.07;41.7
43;6.66;10.43
44;73.11;59.41
45;53.46;4.85
46;61.53;73.89
47;11.78;36.66
48;13.5;29.71
49;90.81;11.29
50;56.45;0.86
51;78.75;80.72
52;50.92;47.84
53;40.31;54.37
54;0.79;17.39
55;89.69;51.95
56;97.32;80.55
57;94.9;28.54
58;61.91;79.52
59;93.56;52.67
60;83.19;80.01
61;65.81;99.56
62;84.56;87.99
63;48.29;9.49
64;2.83;0.94
65;82.31;4.3
66;82.32;9.19
67;86.41;2.27
68;5.06;94.91
69;22.81;62.68
70;43.96;59.98
71;96.86;99.42
72;27.35;28.72
73;20;19.62
74;99.1;95.53
75;50.62;23.64
76;51.73;57.78
77;21.83;22.26
78;82.51;36.32
79;92.4;32.1
80;12;21.05
81;55.92;40.33
82;78.95;47.1
83;87.33;17.61
84;30.52;39.57
85;0.5;89.85
86;42.43;2.08
87;63.26;25.36
88;79;11.46
89;6.91;20.05
90;29.35;39.14
