DataFile;7-2-105-6-16-18-10.txt
Class;7
DataSet;2
n;105
r;6
N_l;16
N_u;18
Rep;10
1;33.76;82.27
2;94.44;10.14
3;14.03;0.63
4;88.38;62.93
5;21.11;18.05
6;91.71;14.58
7;95.31;41.07
8;12.59;21.47
9;33.88;11.27
10;22.49;70.16
11;86.25;13.58
12;6.34;54.12
13;36.5;96.24
14;67.45;43.18
15;86.37;8.86
16;4.39;3.57
17;13.71;20.9
18;60.27;2.62
19;86.55;57.47
20;60.59;7.54
21;94.12;5.14
22;62.04;36.97
23;55.12;44.55
24;91.66;64.94
25;7.62;78.55
26;90.17;13.5
27;10.53;17.75
28;2.65;45.48
29;82.15;25.51
30;27.38;78.21
31;76.68;41.38
32;84.92;81.87
33;73.31;51.28
34;23.97;96.75
35;67.77;95.8
36;15.47;46.94
37;48.64;45.63
38;11.46;62.88
39;36.24;6.33
40;41.93;77.01
41;51.96;52.31
42;29.71;46.01
43;2.12;84.62
44;26.24;9.62
45;17.41;53.81
46;51.8;87.58
47;1.79;71.29
48;73.26;25.25
49;99.54;89.51
50;87.43;17.89
51;68.14;99.6
52;57.89;11.75
53;96.54;92.23
54;52.81;80.2
55;78.05;75.39
56;2.97;5.85
57;31.17;13.77
58;7.52;17.15
59;68.93;71.09
60;2.43;49.39
61;84.14;56.8
62;57.83;79.7
63;34.02;55.27
64;87.22;82.62
65;87.03;68.45
66;27.66;71.92
67;1.23;93.23
68;70.47;28.09
69;5.33;22.28
70;50.62;15.16
71;39.05;13.48
72;63.4;66.44
73;18.43;41.95
74;88.16;22.19
75;80.69;43.74
76;57.09;16.25
77;57.26;65.16
78;21.84;61.14
79;6.84;50.79
80;78.43;68.12
81;14.56;44.3
82;94.62;10.82
83;62.94;12.38
84;86.07;52.09
85;7.18;49.2
86;56.63;96.45
87;17.95;32.41
88;0.36;16.88
89;4.09;12.89
90;92.82;25.43
91;68.54;64.92
92;26.73;99.81
93;37.63;99.14
94;12.48;40.82
95;10.71;32.44
96;65.69;23.98
97;12.38;61.08
98;72.07;2.3
99;5.14;42.3
100;82.29;59.51
101;74.04;35.11
102;60.99;3.28
103;3.18;52.39
104;90.9;40.39
105;83.89;27.84
