DataFile;7-2-105-6-16-18-7.txt
Class;7
DataSet;2
n;105
r;6
N_l;16
N_u;18
Rep;7
1;54.25;43.64
2;90.41;95.46
3;15.96;54.2
4;90.18;34.32
5;70.23;27.92
6;53.72;38.07
7;47.47;46.92
8;26.58;68.2
9;51.58;48.59
10;73.08;25.33
11;18.92;51.34
12;75.91;55.37
13;16.98;27.59
14;52.82;60.78
15;49.98;62.39
16;80.94;13.91
17;88.39;46.67
18;53.61;38.65
19;95.02;45.99
20;42.84;71.6
21;47;60.93
22;30.62;22.48
23;43.62;94
24;16.12;81.96
25;2.5;85.37
26;77.74;40.45
27;71.83;12.82
28;45.03;1.04
29;74.71;87.76
30;16.95;9.78
31;68.94;54.7
32;7.34;30.2
33;61.32;46.92
34;20.34;17.11
35;65.39;42.08
36;20.14;43.49
37;78.19;84.2
38;64.55;65.9
39;11.47;54.61
40;42.68;35.78
41;40.63;91.94
42;41.79;4.59
43;91.66;77
44;52.71;50.47
45;31.52;78.92
46;58.92;62.35
47;98.1;74.17
48;29.36;16.6
49;62.32;4.24
50;99.18;75.11
51;28.21;71.31
52;37.35;21.19
53;1.85;46.93
54;96.99;75.07
55;74.6;71.04
56;6.17;4.55
57;0.48;75.98
58;21.02;24.6
59;88.96;68.02
60;50.64;8.67
61;21.29;76.35
62;82.76;40.81
63;85.76;6.55
64;55.41;74.87
65;16.15;33.24
66;94.19;33.36
67;22.51;14.13
68;43.69;91.09
69;10.3;32.98
70;74.95;37.16
71;37.46;12.33
72;48.62;32
73;71.34;49.17
74;69.13;27.18
75;63.34;8.13
76;2.65;98.66
77;51.97;82.04
78;20.11;9.29
79;9.24;38.01
80;3.7;59.01
81;60.4;97.41
82;20.34;2.06
83;7.19;56.94
84;95.39;55.92
85;6.13;94.21
86;42.43;33.31
87;84.52;15.67
88;70.79;47.94
89;77.49;22.96
90;33.73;18.55
91;96.49;70.86
92;45.59;43.41
93;64.07;75.16
94;45.77;53.71
95;24.42;97.84
96;85.46;64
97;77.75;43.65
98;1.29;54.37
99;65.28;79.27
100;22.25;48.67
101;43.64;41.15
102;91.71;55.38
103;53.92;11.97
104;73.69;61.86
105;29.12;49.71
