DataFile;5-2-90-8-10-12-1.txt
Class;5
DataSet;2
n;90
r;8
N_l;10
N_u;12
Rep;1
1;36.5;3.32
2;42.89;95.76
3;26.36;56.16
4;43.67;52.81
5;43.72;96.9
6;32.87;76.92
7;6.38;97.55
8;87.62;2.85
9;11.56;79.32
10;4.31;43.47
11;12.76;20.7
12;17.06;62.51
13;94.73;93.25
14;56.66;73.12
15;18.19;44.35
16;91.02;56.22
17;50.88;71.15
18;41.8;0.39
19;13.14;20.15
20;15.2;69.14
21;62.33;79.66
22;16.65;45.6
23;38.78;60.54
24;38.94;8.43
25;45.21;70.72
26;89.23;8.09
27;6.17;17.77
28;41.39;13.58
29;12.02;42.61
30;65.2;46.1
31;48.86;74.71
32;23.38;38.39
33;69.94;21.92
34;18.77;51.93
35;43.55;71.86
36;96.61;42.73
37;96.04;38.52
38;98.84;14.28
39;67.95;54.12
40;16.79;45.76
41;35.84;51.91
42;10.86;29.4
43;6.93;0.62
44;71.64;47.49
45;30.63;6.41
46;15.14;8.51
47;23.32;87.87
48;17.99;77.35
49;94.24;7.06
50;99.79;12.09
51;23.88;25.97
52;75.27;24.3
53;39.05;2.93
54;40.74;32.89
55;30.85;74.72
56;14.32;54.2
57;51.38;36.45
58;69.68;36.99
59;37.89;65.91
60;62.16;70.5
61;22.72;41.32
62;12.61;63.72
63;12.87;38.27
64;73.35;80.56
65;26.71;51.8
66;94.65;11.54
67;63.43;98.55
68;10.73;60.07
69;46.2;19.37
70;98.25;1.79
71;2.93;80.66
72;57.31;48.26
73;7.27;49.8
74;96.91;37.17
75;34.28;67.19
76;13.44;94.51
77;50.34;36.25
78;38.34;67.82
79;65.36;48.11
80;0.79;77.45
81;9.16;99.74
82;4.13;74.18
83;65.62;2.9
84;67.83;7.36
85;7.65;85.96
86;49.73;8.56
87;1.48;19.91
88;68.64;30.03
89;84.72;8.55
90;33.83;38.2
