DataFile;7-2-105-6-16-18-5.txt
Class;7
DataSet;2
n;105
r;6
N_l;16
N_u;18
Rep;5
1;11.64;8.6
2;93.26;91.73
3;13.42;63.04
4;95.81;50.11
5;5.81;80.57
6;82.44;77.61
7;57.78;15.55
8;86.32;56.73
9;53.47;8.93
10;72.92;97.76
11;23.32;78.31
12;75.35;22.89
13;91.61;86.93
14;60.63;98.97
15;59.88;14.47
16;46.12;99.44
17;38.19;58.73
18;0.95;30.59
19;52.06;7.58
20;0.52;14.01
21;2.87;82.12
22;89.69;85.92
23;50.94;39.56
24;97.48;87.01
25;43.51;50.57
26;62.53;53.46
27;25.2;97.13
28;77.76;9.72
29;80.12;3.56
30;90.26;53.87
31;4.62;90.22
32;33.81;27.98
33;9.79;2.22
34;16.55;95.75
35;64.23;42
36;30.92;16.8
37;40.28;94.62
38;54.85;3.33
39;92.5;18.89
40;36.67;47.4
41;19.33;82.56
42;19.15;32.49
43;75;98.76
44;70.47;70.7
45;97.71;4.64
46;22.07;62.72
47;34.96;39.25
48;85.26;49.54
49;7.99;87.68
50;31.26;29.53
51;22.18;19.87
52;69.98;46.86
53;28.58;53.96
54;35.12;89.6
55;23.46;42.19
56;47.7;74.21
57;13.95;85.82
58;91.39;98.72
59;93.55;21.57
60;35.22;62.33
61;95.1;30.25
62;98.07;17.76
63;78.97;98.66
64;20.24;49.28
65;51.52;35.59
66;91.81;50.36
67;65.26;50.44
68;42.34;58.92
69;71.45;44.75
70;72.51;64.57
71;4.86;5.92
72;28.29;84.03
73;96.94;52.11
74;29.68;80.6
75;30.21;61.78
76;46.57;43.86
77;55.72;95.78
78;71.24;18.14
79;3.69;5.58
80;12.09;56.75
81;53.77;58.15
82;7.97;73.94
83;62.8;98.81
84;53.42;88.53
85;36.8;26.06
86;54.39;72.92
87;27.93;42.59
88;38.36;82.38
89;47.73;66.69
90;19.48;34.65
91;71.28;86.55
92;35.34;15.62
93;23.07;32.92
94;52.17;41.38
95;26.55;25.19
96;57.79;25.72
97;95.51;86.48
98;24.28;5.08
99;32.35;34.77
100;37.09;79.01
101;82.05;89.27
102;98.4;19.39
103;91.67;12.03
104;71.53;25.62
105;24.11;85.7
