DataFile;3-2-75-10-6-8-2.txt
Class;3
DataSet;2
n;75
r;10
N_l;6
N_u;8
Rep;2
1;25.82;21.67
2;28.95;7.31
3;14.65;69.7
4;45.89;6.63
5;7.57;97
6;8.37;58.97
7;6.69;58.74
8;50.88;38.48
9;53.98;99.54
10;45.42;62.76
11;34.4;62.45
12;99.05;1.98
13;16.42;6.68
14;81.52;26.73
15;46.35;56.15
16;37.58;16.53
17;8.03;21.13
18;43.86;5.85
19;73.95;63.44
20;7.98;32.8
21;18.71;7.7
22;54.76;29.64
23;82.26;43.97
24;24.81;17.09
25;44.85;5.03
26;54.99;91.8
27;41.64;47.52
28;80.82;41.23
29;94.05;43.56
30;58.64;63.19
31;65.77;86.03
32;39.81;84.85
33;81.2;36.19
34;71.18;85.89
35;57.21;41.48
36;92.62;57.28
37;64.55;82.91
38;34.64;86.07
39;31.65;6.75
40;43.53;25.98
41;42.5;92.35
42;57.2;34.92
43;79.56;47.18
44;65.34;47.24
45;76.99;46.01
46;39.31;63.09
47;47.54;9.26
48;80.22;78.23
49;11.35;21.56
50;85.49;27.86
51;99.12;29.27
52;34.45;77.71
53;83.93;52.55
54;83.23;55.1
55;53.97;72.76
56;25.69;65.36
57;8.66;29.59
58;67.47;61.13
59;50.43;49.89
60;15.3;58.17
61;5.31;8.35
62;19.45;50.66
63;80.67;54.24
64;15.64;58.85
65;44.6;38.25
66;71.71;80.18
67;0.82;93.23
68;61.09;25.68
69;51.65;9.06
70;3.21;79.42
71;21.35;31.26
72;31.02;60.15
73;24.64;54.64
74;29.02;45.24
75;45.92;68.01
