DataFile;8-2-105-8-12-14-10.txt
Class;8
DataSet;2
n;105
r;8
N_l;12
N_u;14
Rep;10
1;53.22;77.52
2;70.85;69.98
3;67.59;30.03
4;75.71;34.98
5;13.08;86.09
6;44.8;85.7
7;1.89;50.75
8;11.95;77.35
9;27.11;34.62
10;57.74;37.21
11;59.82;65.96
12;5.21;38.43
13;79.98;75.27
14;25.35;11.37
15;70.23;81.89
16;27.96;35.26
17;68.82;90.5
18;27.27;11.17
19;36.06;5.84
20;32.07;14.57
21;97.09;53.24
22;3.42;73.9
23;98.84;49.37
24;45.49;18.87
25;24.27;65.54
26;9.2;50.47
27;65.26;72.54
28;32.93;88.69
29;97.16;12.91
30;14.69;95.28
31;93.24;28.12
32;61.93;77.45
33;83.1;66.42
34;78.4;46.24
35;56.05;75.23
36;33.6;79.72
37;84.14;80.87
38;96.67;15.64
39;37.61;78.64
40;13.75;3.82
41;31.75;96.49
42;32.29;62.08
43;17.66;74.56
44;19.99;6.21
45;89.34;73.49
46;42.41;21.46
47;39.29;22.57
48;45.38;83.5
49;15.48;58.53
50;64.94;77.82
51;87.51;91.7
52;24.26;95.07
53;58.19;55.73
54;40.47;21.47
55;73.5;69.75
56;77.87;96.88
57;90.9;55.11
58;63.51;90.33
59;45.13;0.95
60;31.11;68.75
61;35.7;61.19
62;62.55;0.71
63;53.52;54.27
64;6.11;55.33
65;43.3;67.42
66;55.99;44.77
67;49.94;61.21
68;32.38;80.05
69;48.77;12.3
70;9.75;7.64
71;79.62;92.37
72;58.46;94.59
73;52.19;10.89
74;69.07;49.42
75;26.03;66.64
76;52.85;7.93
77;52.23;48.65
78;25.59;81.02
79;74.05;56.39
80;92.64;91.98
81;40.03;43.62
82;67.89;37.17
83;22.39;14.06
84;26.99;60.61
85;12.25;82.84
86;78.07;38.55
87;3.5;13.08
88;8.79;11.68
89;50.61;48.94
90;26.62;35.31
91;5.75;99.64
92;63.55;25.91
93;10.74;59.56
94;50;23.48
95;6.07;59.91
96;43.9;46.74
97;15.6;53.96
98;16.8;33.36
99;5.88;93.35
100;91.9;83.58
101;41.76;61.22
102;9.17;3.01
103;51.4;32.35
104;72.42;78.52
105;58.51;82.45
