DataFile;12-2-120-10-11-13-9.txt
Class;12
DataSet;2
n;120
r;10
N_l;11
N_u;13
Rep;9
1;50.8;88.63
2;31.53;92.23
3;36.44;34.26
4;17;47.1
5;64.52;82.16
6;37.87;99.54
7;78.26;75.54
8;79.13;10.05
9;63.19;69.06
10;41.75;15.67
11;31.5;88.21
12;80.11;76.29
13;25.05;18.6
14;94.43;16.48
15;50.76;49.12
16;47.05;21.29
17;43.36;43.25
18;57.02;64.91
19;65;49.14
20;24.85;98.15
21;26.16;79.87
22;43.25;46.28
23;58.07;82.73
24;56.41;91.46
25;43.34;1.09
26;0.35;27.68
27;90.07;6.56
28;96.72;26.3
29;63.51;75.57
30;0.34;64.21
31;35.11;74.15
32;24.68;36.44
33;20.56;50.27
34;74.57;85.79
35;33.99;36.92
36;67.58;2.75
37;22.27;78.97
38;71.41;99.5
39;88.88;33.96
40;27.77;11.92
41;8.8;24.64
42;57.75;82.32
43;5.1;38.02
44;3.99;83.19
45;99.05;49.48
46;25.57;73.93
47;81.24;54.27
48;79.76;6.68
49;98.39;22.98
50;27.48;31.63
51;37.73;87.43
52;80.95;10.29
53;61.14;60.49
54;47.43;96.04
55;9.52;84.55
56;73.05;30.6
57;9.05;46.22
58;6.66;12.93
59;27.47;85.18
60;61.2;82.45
61;52.64;15.9
62;40.73;15.46
63;10.69;18.54
64;96.92;19.34
65;55.77;78.62
66;59.96;45.34
67;28.95;27.97
68;87.24;21.19
69;89.49;64.41
70;89.84;9.01
71;76.47;39.42
72;36.53;54.04
73;53.42;74.04
74;5.74;7.6
75;63.98;31.28
76;85.43;97.13
77;64.27;58.64
78;30.6;28.51
79;86.55;51.61
80;75.44;27.35
81;41.17;36.74
82;6.06;89
83;75.16;63.09
84;88.42;77.69
85;92.9;28.49
86;8.97;66.4
87;42.46;63.04
88;93.31;53.57
89;72.06;73.42
90;89.12;95.57
91;37.53;48.62
92;91.5;41.65
93;29.16;63.72
94;89.48;14.35
95;90.69;8.74
96;0.59;30.92
97;77.55;95.11
98;69.31;9.14
99;17.88;16.66
100;16.82;77.05
101;8.83;75.71
102;4.36;87.3
103;54.87;86.45
104;66.58;79.45
105;30.31;82.53
106;54.28;66.3
107;35.07;76.56
108;72.83;68.95
109;54.85;33.56
110;57.8;73.23
111;56.53;62.7
112;86.9;54.58
113;91.45;59.78
114;16.49;2.35
115;11.2;42.91
116;38.77;79.08
117;36.93;19.72
118;87.07;62.82
119;60.54;39.27
120;50;56.72
