DataFile;5-2-90-8-10-12-8.txt
Class;5
DataSet;2
n;90
r;8
N_l;10
N_u;12
Rep;8
1;22.99;26.24
2;20.2;45.95
3;41.57;6.92
4;52.11;20.16
5;20.92;15.96
6;17.49;83.44
7;21.02;60.41
8;99.01;56.42
9;37.29;38.68
10;95.64;48.9
11;98.88;77.29
12;73.46;70.36
13;53.64;7.01
14;59.31;34.49
15;55.48;38.41
16;79.47;43.9
17;49.15;65.1
18;72.06;99.83
19;10.23;22.1
20;4.12;0.61
21;57.79;59.99
22;84.72;23.37
23;74.06;43.83
24;22.91;39.82
25;1.23;84.37
26;6.53;54.44
27;3.12;48.94
28;93.87;42.67
29;69.92;14.61
30;42.11;71.89
31;11.33;71.16
32;33.66;2.66
33;53.46;23.88
34;15.48;6.06
35;85.19;73.54
36;20.99;73.69
37;25.18;81.23
38;85.03;11.33
39;36.76;58.67
40;7.85;82.85
41;62.05;42.71
42;25.36;26.18
43;39.8;83.54
44;14.36;54.89
45;57.82;79.19
46;1.29;33.28
47;3.1;2.23
48;91.59;65.59
49;74.57;5.74
50;44.91;5.66
51;60.39;7.58
52;37.47;67.97
53;93.04;48.78
54;47.33;66.21
55;40.25;11.48
56;87.31;88.33
57;85.9;18.33
58;46.14;64.96
59;75.72;86.04
60;43.92;37.7
61;64.79;63.03
62;24.32;20.84
63;60.83;74.39
64;27.08;76.44
65;43.24;77.71
66;32.4;52.29
67;98.91;44.71
68;55.42;17.35
69;34.97;24.98
70;88.5;11.15
71;47.8;98.84
72;59.19;22.33
73;25.07;65.96
74;50.43;46.83
75;99;84.41
76;52.38;77.25
77;7.4;46.07
78;98.61;52.83
79;99;21
80;32.14;51.66
81;11.02;55.58
82;55.7;89.36
83;29.81;22.44
84;63.22;81.57
85;54.37;79.28
86;93.47;55.95
87;50.38;80.51
88;43.52;12.03
89;76.29;38.28
90;75.33;52.69
