DataFile;2-2-75-8-8-10-2.txt
Class;2
DataSet;2
n;75
r;8
N_l;8
N_u;10
Rep;2
1;55.64;26.42
2;96;78.21
3;82.78;47.73
4;45.47;24.09
5;89.82;88.25
6;44.62;63.63
7;49.61;98.92
8;93.7;52.84
9;11.72;28.49
10;44.21;69.98
11;19.36;68.86
12;29.33;7.7
13;5.19;52.58
14;54.82;57.59
15;83.67;8.51
16;46.53;8.83
17;38.31;39.58
18;73.03;77.51
19;91.14;57.05
20;83.84;46.88
21;78.81;69.37
22;92.12;3.23
23;16.13;64
24;47.48;29.1
25;82.69;18.82
26;27.61;33.19
27;76.34;6.1
28;53.39;55.64
29;84.97;37.08
30;3.24;28.43
31;62.98;57.92
32;84.67;94.75
33;70.92;97.24
34;92.52;78.35
35;47.04;93.74
36;45.5;86.34
37;80.41;24.32
38;42.64;91.55
39;92.34;0.89
40;98.13;41.07
41;28.52;55.73
42;13.84;59.86
43;90.68;41.04
44;76.37;30.04
45;76.41;55.19
46;16.72;60.43
47;56.61;63.59
48;85.55;61.86
49;35.71;87.96
50;63.3;13.55
51;1.03;51.49
52;88.27;32.72
53;8.22;97.63
54;5.63;74.16
55;90.37;29.24
56;76.94;38.32
57;28.4;21.89
58;33.71;16.19
59;81.49;95.24
60;86.23;86.01
61;47.93;14.6
62;25.14;33.57
63;34.47;23.35
64;66.78;32.23
65;42.56;28.3
66;16.02;91.57
67;17.82;39.98
68;49.1;83.95
69;49.57;35.58
70;30.85;30.62
71;42.79;71.66
72;57.52;92.13
73;69.25;56.48
74;95.29;9.39
75;99.46;73.66
