DataFile;8-2-105-8-12-14-8.txt
Class;8
DataSet;2
n;105
r;8
N_l;12
N_u;14
Rep;8
1;37.55;29.86
2;65.08;77.46
3;39.67;61.79
4;91.12;66.58
5;41.22;88.31
6;77.95;99.62
7;34.24;55.08
8;96.26;84.23
9;93.86;54.64
10;4.18;15.79
11;96.53;45.2
12;58.19;75.91
13;27.41;97.7
14;54.4;89.77
15;67.37;71.79
16;10.76;97.56
17;24.44;8.49
18;50.75;13.43
19;48.37;14.14
20;19.14;61.13
21;24.99;78.78
22;12.84;96.21
23;34.5;46.58
24;61.9;53.82
25;58.33;77.2
26;87.57;90.23
27;90.55;36.05
28;5.84;66.86
29;53.46;20.85
30;48.5;68.91
31;69.98;98.23
32;98.67;60.5
33;44.09;20.49
34;62.87;95.36
35;34.62;41.05
36;35.41;11.4
37;47.74;46.34
38;11.9;80.99
39;92.05;10.79
40;19.54;81.21
41;9.4;11.5
42;27.68;93.75
43;56.63;39.24
44;46.22;78.66
45;51.99;3.77
46;69.73;69.55
47;18.92;62.47
48;11.3;70.89
49;3.18;54.85
50;39.35;87.81
51;53.17;15.84
52;16.58;11.07
53;62.49;18.95
54;22.18;90.18
55;52.85;31.88
56;63.23;14.91
57;94.74;26.64
58;59.52;15.64
59;75.04;93.27
60;13.5;0.94
61;14.03;68.14
62;69.5;51.97
63;62.4;35.77
64;83.92;88.57
65;62.85;72.05
66;44.87;81.24
67;92.79;42.67
68;54.6;22.76
69;26.18;6.77
70;89.48;59.3
71;15.03;88.52
72;82.28;19.1
73;15.57;67.71
74;72.24;70.71
75;23.69;49.17
76;6.29;29.64
77;84.73;95.35
78;59;3.23
79;72.42;35.39
80;55.93;90.27
81;4.16;83.05
82;97.93;92.54
83;65.62;91.77
84;86.26;8.08
85;31.79;79.97
86;90.96;68.59
87;31.88;91.17
88;7.72;85.53
89;88.88;84.88
90;12.95;4.3
91;77.21;63.68
92;35.67;7.64
93;75.95;83.61
94;37.82;44.82
95;84.51;84.89
96;29.96;99.15
97;19.74;78.74
98;42.09;18.42
99;42.15;83.88
100;55.63;89.8
101;10.56;79.98
102;49.04;97.12
103;73.09;4.77
104;49.42;35.11
105;94.55;1.8
