DataFile;12-2-120-10-11-13-4.txt
Class;12
DataSet;2
n;120
r;10
N_l;11
N_u;13
Rep;4
1;39.59;59.61
2;63.91;99.79
3;81.13;9.3
4;12.81;33.29
5;84.85;19.44
6;74.75;49.46
7;58.82;28.97
8;82.74;35.89
9;87.54;16.75
10;98.74;58.06
11;55.2;97.7
12;85.97;36.91
13;7.89;36.66
14;70.69;28.54
15;51.64;66.75
16;22.37;91.09
17;75.74;64.35
18;1.34;61.88
19;80.8;78.1
20;85.26;56.92
21;34.32;21.54
22;19.84;7.78
23;87.62;74.95
24;58.72;51.14
25;67.78;51.47
26;83.68;40.54
27;10.94;30.67
28;10.98;93.88
29;93.27;23.45
30;41.81;29.4
31;15.06;65.55
32;89.78;35.35
33;97.78;8.55
34;67.6;19.92
35;5.49;35.18
36;1.71;4.12
37;45.74;46.91
38;41.85;58
39;97.26;47.49
40;8.05;16.89
41;6.83;75.23
42;71.73;61.76
43;20.52;39.94
44;47.76;57.93
45;8.81;46.51
46;25.03;45.56
47;95.47;19.23
48;82.59;12.48
49;89.45;96.2
50;64.47;66.48
51;51.91;7.1
52;94.11;20.44
53;25.46;26.55
54;62.7;18.78
55;85.11;11.84
56;66.25;28.22
57;90.42;67.86
58;7.44;0.87
59;13.25;78
60;54.4;7.6
61;31.72;48.84
62;82.36;24.01
63;2.96;41.23
64;62.46;37.57
65;69.86;59.16
66;90.09;57.97
67;13.72;50.24
68;31.55;35.14
69;48.39;29.19
70;67.01;22.13
71;30.67;92.28
72;6.33;1.32
73;32.7;50.74
74;91.02;53.93
75;52.72;38.66
76;75.71;70.32
77;39.88;67.93
78;18.13;54.85
79;27.34;47.47
80;23.39;6.88
81;81.9;61.8
82;56.12;91.29
83;5.1;25.2
84;86.45;23.73
85;80.19;87.92
86;18.39;89.04
87;58.96;48.05
88;91.28;64.7
89;23.3;48.16
90;40.64;9.11
91;78.6;28.8
92;66.25;82.95
93;22.28;99.77
94;42.44;54.95
95;59.31;39.26
96;44.07;0.83
97;4.34;24.46
98;8.13;36.29
99;49.31;46.47
100;0.02;50.94
101;48.53;78.37
102;10.32;19.2
103;63.5;5
104;13.59;31.79
105;21.75;38.25
106;91.92;14.17
107;6.64;93.05
108;46.57;20.95
109;64.64;98.96
110;36.79;93.66
111;70.71;45.44
112;70.38;11.43
113;40.71;81.19
114;55.19;72
115;57.87;72.28
116;40.84;99.5
117;15.45;89.35
118;89.64;3.21
119;33.45;17.9
120;71.33;25.12
