DataFile;1-2-75-6-11-13-10.txt
Class;1
DataSet;2
n;75
r;6
N_l;11
N_u;13
Rep;10
1;44.46;37.74
2;23.13;32.26
3;0.27;65.27
4;37.34;96.06
5;15.02;24.78
6;52.18;41.87
7;93.87;56.61
8;83.26;71.05
9;3.35;65.41
10;55.29;34.89
11;15.07;45.46
12;4.2;56.11
13;12.31;91.34
14;8.17;84.86
15;15.82;20.72
16;91.12;40
17;3.79;3.94
18;64.44;58.03
19;51.67;76.04
20;44.72;67.42
21;49.44;68.09
22;35.72;69.89
23;45.81;83.74
24;95.16;72.33
25;94;8.62
26;67.12;26.12
27;33.05;47.64
28;88.68;87.09
29;7.74;38.13
30;47.65;52.85
31;58.07;56.42
32;77.13;24
33;35.28;79.8
34;99.13;70.67
35;18.73;66.87
36;15.01;61.77
37;99.11;8.82
38;71.27;7.25
39;32.78;48.29
40;17.5;71.76
41;68.42;80.53
42;59.37;35.8
43;9.02;68.57
44;45.72;23.62
45;71.83;13.24
46;67.51;4.61
47;11.7;95.8
48;97.58;45.23
49;14.1;93.74
50;57.69;60.58
51;86.13;9.25
52;53.14;62.94
53;92.92;78.17
54;99.67;73.98
55;86.79;94.37
56;83.86;74.74
57;15.25;76.64
58;95.49;47.8
59;48.25;7.22
60;65.87;17.18
61;54.59;32.05
62;43;56.68
63;98.13;74.11
64;97.98;77.44
65;19.91;18.12
66;33.63;13.21
67;50;43.99
68;11.04;44.85
69;73.11;80.44
70;72.33;26.35
71;91.24;9.57
72;20.1;13.17
73;84.24;74.77
74;82.05;67.46
75;44.17;26.95
