DataFile;10-2-120-6-19-21-10.txt
Class;10
DataSet;2
n;120
r;6
N_l;19
N_u;21
Rep;10
1;54.84;26.03
2;85.91;98.25
3;95.05;39.87
4;16.32;93.77
5;29.8;91.97
6;28.52;88.18
7;18.23;63.88
8;35.46;66.07
9;15.83;73.99
10;37.24;36.27
11;30.43;55.45
12;43.86;54.17
13;76.96;6.46
14;75.47;93.17
15;88.2;20.82
16;68.83;63.33
17;20.32;70.93
18;30.91;88.9
19;3.09;43.79
20;13.13;42.41
21;92.79;98.57
22;66.07;23.42
23;73.31;31.55
24;90.89;64.25
25;20.22;28.27
26;8.68;21.6
27;94.32;1.21
28;72.23;62.67
29;58.31;37.56
30;38.86;15.39
31;97.51;11.41
32;47.69;55.83
33;74.25;62.19
34;52.64;12.61
35;39.12;59.52
36;94.09;95.24
37;83.18;46.98
38;77.66;68.84
39;86.49;7.03
40;62.84;6.86
41;93.16;96.56
42;48.58;91.08
43;41.84;70.83
44;4.66;71.34
45;16.45;9.73
46;47.78;32.02
47;78.81;62.55
48;47.17;56.45
49;99.43;1.4
50;76.57;83.1
51;47.75;73.1
52;18.77;25.39
53;12.63;6.19
54;34.24;18.09
55;48.95;14.99
56;76.19;80.06
57;92.67;33.39
58;8.64;5.31
59;41.59;92.24
60;91.42;0.52
61;57.23;63.35
62;17.28;26.17
63;92.55;47.8
64;42.68;89.9
65;78.96;34.47
66;54.51;64.89
67;41.83;73.02
68;86.68;24.2
69;0.68;65.22
70;16.24;98.58
71;5.42;3.6
72;25.52;88.64
73;78.96;11.23
74;81.64;73.87
75;10.66;52.2
76;96.79;11.17
77;63.72;93.01
78;53.4;46.77
79;15.08;56.88
80;39.47;40.41
81;91.12;63.15
82;17.49;41.76
83;65.33;52.18
84;73.96;60.36
85;87.31;84.36
86;62.6;58.65
87;24.31;32.55
88;15.26;39.15
89;25.26;35.49
90;14.48;47.96
91;78.85;86.16
92;64.67;4.91
93;85.02;70.53
94;29.72;16.53
95;42.25;98.01
96;72.12;9.31
97;56.71;75.36
98;40.62;13.25
99;30.63;75.93
100;66.14;6.82
101;95.02;35.82
102;60.33;77.87
103;0.28;38.6
104;13.96;63.44
105;45.65;31.13
106;79.47;8.4
107;85.3;79.04
108;55.76;62.9
109;82.27;46.14
110;65.67;77.11
111;35.57;26.53
112;20.89;9.02
113;6.48;65.95
114;83.9;8.9
115;86.15;21.82
116;9.85;93.5
117;63.3;65.6
118;14.56;93.67
119;1.1;39.55
120;78.38;2.19
