DataFile;4-2-90-6-14-16-10.txt
Class;4
DataSet;2
n;90
r;6
N_l;14
N_u;16
Rep;10
1;63.66;78.85
2;82.97;66.6
3;1.29;81.87
4;21.88;35.99
5;47.2;40.84
6;89.63;7.32
7;45.86;83.45
8;19.26;3.3
9;51.45;79.01
10;79.13;82.25
11;93.07;67.02
12;55.91;29.62
13;92.83;91.11
14;30.72;54.49
15;51.11;88.48
16;32.17;23.41
17;36.35;50.45
18;91.73;49.94
19;4.06;38.54
20;64.73;83.25
21;75.92;79.55
22;22.94;47.08
23;44.41;7.38
24;62.81;4.6
25;21.21;85.6
26;19.59;61.92
27;87.76;71.73
28;24.73;56.89
29;32.21;18.99
30;21.33;69.71
31;26.6;1.61
32;71.65;62.74
33;46.3;0.28
34;87.72;14.45
35;28.38;85.53
36;0.18;87.9
37;11.11;81.15
38;90.28;90.27
39;84.28;43.6
40;92.66;36.32
41;39.08;12.17
42;93.15;31.85
43;15.47;88.81
44;84.41;36.58
45;26.44;96.71
46;38.95;4.11
47;63.83;37.06
48;8.67;66.32
49;79.14;83.85
50;57.49;75.07
51;52.34;53.69
52;79.72;70.67
53;38.34;70.31
54;97.31;95.64
55;86.43;12.76
56;0.65;82.93
57;44.3;64.27
58;25.68;94.24
59;60.04;24.27
60;32.26;41.07
61;85.96;58.61
62;52.32;91.7
63;93.92;16.86
64;58.35;64.05
65;65.41;67.52
66;62.85;24.62
67;83.58;37.76
68;64.98;37.71
69;39.92;53.33
70;67.98;76.15
71;33.33;13.18
72;97.25;20.62
73;22.67;58.09
74;44.22;67.25
75;2.67;46.4
76;28.22;2.94
77;57.13;32.81
78;14.49;66.28
79;19.69;49.09
80;53.64;47.89
81;57.2;38.29
82;78.66;3.38
83;34.46;44.92
84;60.22;97.4
85;28.17;25.93
86;21.61;73.42
87;97.58;55.26
88;26.1;89.54
89;27.81;90.71
90;90.3;74.29
